Player,Primary_Pos,Club,League,Age,Market_Value_EUR,Predicted_Value,Gap,Value_Ratio
Fermin LÃ³pez,MF,Barcelona,es La Liga,22.0,100000000,105416190.0,5416192.0,1.05416192
Issa SoumarÃ©,FW,Le Havre,fr Ligue 1,24.0,8000000,13393578.0,5393578.0,1.67419725
CaoimhÃ­n Kelleher,GK,Brentford,eng Premier League,26.0,28000000,33321468.0,5321468.0,1.1900524285714287
Roberto FÃ©rnandez,FW,Espanyol,es La Liga,23.0,10000000,15308817.0,5308817.0,1.5308817
Freddie Potts,MF,West Ham United,eng Premier League,21.0,10000000,15263509.0,5263509.0,1.5263509
Patrik Schick,FW,Leverkusen,de Bundesliga,29.0,18000000,23124820.0,5124820.0,1.2847122222222223
Lorenzo Colombo,FW,Genoa,it Serie A,23.0,10000000,15100337.0,5100337.0,1.5100337
Michele Di Gregorio,GK,Juventus,it Serie A,28.0,10000000,15099933.0,5099933.0,1.5099933
Hans Nicolussi Caviglia,MF,Parma,it Serie A,25.0,6000000,11056095.0,5056095.0,1.8426825
Jaidon Anthony,MF,Burnley,eng Premier League,25.0,20000000,25043460.0,5043460.0,1.252173
Wouter Burger,MF,Hoffenheim,de Bundesliga,24.0,20000000,25042216.0,5042216.0,1.2521108
Pablo IbÃ¡Ã±ez,MF,AlavÃ©s,es La Liga,26.0,4000000,9034709.0,5034709.0,2.25867725
NicolÃ² Bertola,DF,Udinese,it Serie A,22.0,7000000,12007574.0,5007574.0,1.7153677142857142
Bakery Jatta,MF,Hamburger SV,de Bundesliga,27.0,1000000,6001333.5,5001333.5,6.0013335
Aron DÃ¸nnum,MF,Toulouse,fr Ligue 1,27.0,5000000,9988235.0,4988235.0,1.997647
Matthijs de Ligt,DF,Manchester Utd,eng Premier League,25.0,30000000,34984600.0,4984600.0,1.1661533333333334
Tyler Adams,MF,Bournemouth,eng Premier League,26.0,25000000,29946352.0,4946352.0,1.19785408
Filippo Terracciano,DF,Cremonese,it Serie A,22.0,4500000,9436221.0,4936221.0,2.096938
Luis DÃ­az,MF,Bayern Munich,de Bundesliga,28.0,70000000,74901270.0,4901272.0,1.0700181714285715
